id,name,type,parent_category,user_id
338,Mat,Expense,,Tore Hetland
339,Lønn,Income,,Tore Hetland
340,Pensjon,Income,,Tore Hetland
341,Subscriptions,Expense,,Tore Hetland
342,Utilities,Expense,,Tore Hetland
343,Strøm,Expense,Utilities,Tore Hetland
344,Vann&Kloakk,Expense,Utilities,Tore Hetland
345,Restaurant,Expense,,Tore Hetland
346,Reiser,Expense,,Tore Hetland
347,Tog,Expense,Reiser,Tore Hetland
348,Buss,Expense,Reiser,Tore Hetland
349,Fly,Expense,Reiser,Tore Hetland
350,Hotell,Expense,Reiser,Tore Hetland
351,Household,Expense,,Tore Hetland
352,Bil,Expense,,Tore Hetland
353,Service,Expense,Bil,Tore Hetland
354,Dekkskifte,Expense,Bil,Tore Hetland
355,Forsikring,Expense,,Tore Hetland
356,Internett,Expense,Subscriptions,Tore Hetland
357,Streaming,Expense,Subscriptions,Tore Hetland
358,Mobil,Expense,Subscriptions,Tore Hetland
359,News,Expense,Subscriptions,Tore Hetland
360,Apotek,Expense,,Tore Hetland
361,Diverse,Expense,,Tore Hetland
362,Dog,Expense,,Tore Hetland
363,Ferie,Expense,,Tore Hetland
364,Gaver,Expense,,Tore Hetland
365,Hunder,Expense,,Tore Hetland
366,Husleie,Income,,Tore Hetland
367,Lege,Expense,,Tore Hetland
368,Minibank,Expense,,Tore Hetland
369,Norwegian Visa,Expense,,Tore Hetland
370,Taxi,Expense,Reiser,Tore Hetland
371,Transfer,Expense,,Tore Hetland
372,Unknown,Expense,,Tore Hetland
375,Food,Expense,,Tore Hetland
376,Huslån,Expense,,Tore Hetland
381,Beauty,Expense,,Tore Hetland
383,Income,,,Tore Hetland
384,Groceries,,,Tore Hetland
385,Rent,,,Tore Hetland
